announcement_key,source_id,published_date,item,price,url,scraped_at
83f64a61f3bedcabbae6,2811,2026-07-20,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2811,2026-09-23T00:53:19
0e137e20284f975220d5,2812,2026-07-21,ทองเหลืองหนา,245.00.-,https://wongpanit.com/print_history_price/2812,2026-09-23T00:53:20
1f4b923ae67568dbd299,2812,2026-07-21,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2812,2026-09-23T00:53:20
baff34b2f2f44054d8a3,2812,2026-07-21,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2812,2026-09-23T00:53:20
928be6ff0a00fecd9963,2813,2026-07-22,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2813,2026-09-23T00:53:21
72290f46e6e2d23b1931,2813,2026-07-22,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2813,2026-09-23T00:53:21
45a6581b276dd437c0db,2813,2026-07-22,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2813,2026-09-23T00:53:22
8cffef132d51a99c9b59,2814,2026-07-23,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2814,2026-09-23T00:53:22
de01ee9d026fa7089a1a,2814,2026-07-23,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2814,2026-09-23T00:53:23
5de8057963c503facee4,2814,2026-07-23,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2814,2026-09-23T00:53:23
ec0c8ff87934ae31e595,2815,2026-07-24,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2815,2026-09-23T00:53:24
a0c7510964de740f0beb,2815,2026-07-24,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2815,2026-09-23T00:53:24
56a8aae4df0c576d005f,2815,2026-07-24,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2815,2026-09-23T00:53:25
3b57313d06f61d3e286d,2816,2026-07-25,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2816,2026-09-23T00:53:25
9ade35e783d92b7652fe,2816,2026-07-25,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2816,2026-09-23T00:53:26
70f1c765965b3248dc88,2816,2026-07-25,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2816,2026-09-23T00:53:26
9a157dd23c273a82ea0a,2817,2026-07-26,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2817,2026-09-23T00:53:27
46d096889902d3cf859d,2817,2026-07-26,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2817,2026-09-23T00:53:27
d9a8b846f2beb474433f,2817,2026-07-26,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2817,2026-09-23T00:53:27
72585e7979fa9abb8b3a,2818,2026-07-27,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2818,2026-09-23T00:53:28
bae0a94b0fd9d95579e5,2818,2026-07-27,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2818,2026-09-23T00:53:28
fe1495cec615f7c14b4c,2818,2026-07-27,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2818,2026-09-23T00:53:29
f4729e357f49f3d03084,2819,2026-07-28,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2819,2026-09-23T00:53:29
592752bdebeb2616eb1f,2819,2026-07-28,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2819,2026-09-23T00:53:30
c6355fceb3cf8070123b,2819,2026-07-28,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2819,2026-09-23T00:53:30
c045693d0901195baf4c,2820,2026-07-29,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2820,2026-09-23T00:53:31
b090ffbaa0b7d78b444e,2820,2026-07-29,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2820,2026-09-23T00:53:31
c3bc1a0f026d883f8812,2820,2026-07-29,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2820,2026-09-23T00:53:31
4fb3f11cbe7b316f89da,2822,2026-07-30,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2822,2026-09-23T00:53:33
2747694a6a748e78a841,2822,2026-07-30,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2822,2026-09-23T00:53:33
4b3abf132a55468db20d,2822,2026-07-30,เหล็กหนาไม่ซอย,4.50.-,https://wongpanit.com/print_history_price/2822,2026-09-23T00:53:34
2cd2324e4fdf18668283,2823,2026-07-31,ทองเหลืองหนา,254.00.-,https://wongpanit.com/print_history_price/2823,2026-09-23T00:53:34
d8e50017fac5c766721f,2823,2026-07-31,เหล็กบางไม่ซอย,3.50.-,https://wongpanit.com/print_history_price/2823,2026-09-23T00:53:35
